Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
1,2.56459e-07,0.151763,5000,1,16,1,0,0,0
2,2.56459e-07,0.151763,5000,1,16,1,0,0,0
3,2.56459e-07,0.151763,5000,1,16,1,0,0,0
4,2.56459e-07,0.151763,5000,1,16,1,0,0,0
5,2.56459e-07,0.151763,5000,1,16,1,0,0,0
6,2.56459e-07,0.151763,5000,1,16,1,0,0,0
7,2.56459e-07,0.151763,5000,1,16,1,0,0,0
8,2.56459e-07,0.151763,5000,1,16,1,0,0,0
9,2.56459e-07,0.151763,5000,1,16,1,0,0,0
10,2.56459e-07,0.151763,5000,1,16,1,0,0,0
11,2.56459e-07,0.151763,5000,1,16,1,0,0,0
12,2.56459e-07,0.151763,5000,1,16,1,0,0,0
13,2.56459e-07,0.151763,5000,1,16,1,0,0,0
14,2.56459e-07,0.151763,5000,1,16,1,0,0,0
15,2.56459e-07,0.151763,5000,1,16,1,0,0,0
16,2.56459e-07,0.151763,5000,1,16,1,0,0,0
17,2.56459e-07,0.151763,5000,1,16,1,0,0,0
18,2.56459e-07,0.151763,5000,1,16,1,0,0,0
19,2.56459e-07,0.151763,5000,1,16,1,0,0,0
20,2.56459e-07,0.151763,5000,1,16,1,0,0,0
21,2.56459e-07,0.151763,5000,1,16,1,0,0,0
22,2.56459e-07,0.151763,5000,1,16,1,0,0,0
23,2.56459e-07,0.151763,5000,1,16,1,0,0,0
24,2.56459e-07,0.151763,5000,1,16,1,0,0,0
25,2.56459e-07,0.151763,5000,1,16,1,0,0,0
26,2.56459e-07,0.151763,5000,1,16,1,0,0,0
27,2.56459e-07,0.151763,5000,1,16,1,0,0,0
28,2.56459e-07,0.151763,5000,1,16,1,0,0,0
29,2.56459e-07,0.151763,5000,1,16,1,0,0,0
30,4.34853e-07,0.146483,5000,1,15,1,0,1,1
31,4.34853e-07,0.146483,5000,1,15,1,0,1,1
32,4.34853e-07,0.146483,5000,1,15,1,0,1,1
33,4.34853e-07,0.146483,5000,1,15,1,0,1,1
34,4.34853e-07,0.146483,5000,1,15,1,0,1,1
35,4.34853e-07,0.146483,5000,1,15,1,0,1,1
36,4.34853e-07,0.146483,5000,1,15,1,0,1,1
37,4.34853e-07,0.146483,5000,1,15,1,0,1,1
38,4.34853e-07,0.146483,5000,1,15,1,0,1,1
39,4.34853e-07,0.146483,5000,1,15,1,0,1,1
40,4.34853e-07,0.146483,5000,1,15,1,0,1,1
41,4.34853e-07,0.146483,5000,1,15,1,0,1,1
42,4.34853e-07,0.146483,5000,1,15,1,0,1,1
43,4.34853e-07,0.146483,5000,1,15,1,0,1,1
44,4.34853e-07,0.146483,5000,1,15,1,0,1,1
45,4.34853e-07,0.146483,5000,1,15,1,0,1,1
46,4.34853e-07,0.146483,5000,1,15,1,0,1,1
47,4.34853e-07,0.146483,5000,1,15,1,0,1,1
48,4.34853e-07,0.146483,5000,1,15,1,0,1,1
49,7.08784e-07,0.141597,5000,1,15,1,0,1,1
50,7.08784e-07,0.141597,5000,1,15,1,0,1,1
51,7.08784e-07,0.141597,5000,1,15,1,0,1,1
52,7.08784e-07,0.141597,5000,1,15,1,0,1,1
53,7.08784e-07,0.141597,5000,1,15,1,0,1,1
54,7.08784e-07,0.141597,5000,1,15,1,0,1,1
55,7.08784e-07,0.141597,5000,1,15,1,0,1,1
56,7.08784e-07,0.141597,5000,1,15,1,0,1,1
57,7.08784e-07,0.141597,5000,1,15,1,0,1,1
58,7.08784e-07,0.141597,5000,1,15,1,0,1,1
59,7.08784e-07,0.141597,5000,1,15,1,0,1,1
60,7.08784e-07,0.141597,5000,1,15,1,0,1,1
61,7.08784e-07,0.141597,5000,1,15,1,0,1,1
