Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
1,3.47704e-07,0.148719,5000,3,10.999,1,2,0.0527344,0.0527344
2,3.47598e-07,0.148723,5000,2.99902,10.998,0.999023,2,0.101562,0.101562
3,3.47646e-07,0.148721,5000,3.00098,10.9951,1,2.00098,0.135742,0.135742
4,3.47646e-07,0.148721,5000,3,10.9932,1,2,0.193359,0.193359
5,3.47529e-07,0.148725,5000,3,10.9922,1,2,0.217773,0.217773
6,3.47588e-07,0.148723,5000,3,10.9902,1,2,0.260742,0.260742
7,3.47588e-07,0.148723,5000,3,10.9961,1,2.00098,0.297852,0.297852
8,3.47588e-07,0.148723,5000,3,10.9932,1,2.00195,0.327148,0.327148
9,3.47646e-07,0.148721,5000,3,10.9912,1.00098,2,0.352539,0.352539
10,3.47539e-07,0.148725,5000,3,10.9883,1,2.00098,0.379883,0.379883
11,3.47539e-07,0.148725,5000,2.99902,10.9854,1.00293,1.99707,0.401367,0.401367
12,3.47481e-07,0.148726,5000,2.99902,10.9854,1.00781,1.99121,0.462891,0.462891
13,3.4757e-07,0.148724,5000,2.99902,10.9893,1.00586,1.99414,0.49707,0.49707
14,3.47464e-07,0.148727,5000,2.99805,10.9941,1.00781,1.99121,0.538086,0.538086
15,3.47464e-07,0.148727,5000,2.99805,10.9932,1.01074,1.98828,0.549805,0.549805
16,3.47464e-07,0.148727,5000,2.99805,10.9941,1.01465,1.98438,0.568359,0.568359
17,3.47704e-07,0.148719,5000,3,11.0029,1.01465,1.98535,0.59375,0.59375
18,3.47685e-07,0.14872,5000,2.99902,11.0049,1.01758,1.9834,0.618164,0.618164
19,3.47704e-07,0.148719,5000,3,11.002,1.01758,1.98242,0.636719,0.636719
20,3.47642e-07,0.148721,5000,3.00293,10.998,1.02148,1.98242,0.670898,0.670898
21,3.47704e-07,0.148719,5000,3.00488,10.9941,1.02148,1.98633,0.669922,0.669922
22,3.47686e-07,0.14872,5000,3.00488,10.9883,1.02051,1.9873,0.708984,0.708984
23,3.4757e-07,0.148723,5000,3.00293,10.9912,1.01953,1.98633,0.716797,0.716797
24,3.47628e-07,0.148722,5000,3.00391,10.9941,1.01172,1.99219,0.691406,0.691406
25,3.4757e-07,0.148723,5000,3.00781,10.9912,1.01562,1.99414,0.703125,0.703125
26,3.47588e-07,0.148723,5000,3.0127,10.9873,1.02246,1.99609,0.738281,0.738281
27,3.47716e-07,0.148719,5000,3.01465,10.9844,1.02832,1.99512,0.745117,0.745117
28,3.4761e-07,0.148723,5000,3.0127,10.9893,1.02441,1.99121,0.767578,0.767578
29,3.47622e-07,0.148723,5000,3.01367,10.9902,1.01953,1.99609,0.772461,0.772461
30,3.47606e-07,0.148723,5000,3.01758,10.9932,1.0293,1.98828,0.805664,0.805664
31,3.47313e-07,0.148733,5000,3.00977,10.999,1.02148,1.98828,0.817383,0.817383
32,3.47358e-07,0.148731,5000,3.01367,10.9912,1.02441,1.98926,0.821289,0.821289
33,3.47242e-07,0.148736,5000,3.00586,10.9951,1.01758,1.98828,0.837891,0.837891
34,3.47383e-07,0.148732,5000,3.00781,10.9893,1.02539,1.98242,0.859375,0.859375
35,3.47446e-07,0.148728,5000,3.00488,10.9834,1.03516,1.97266,0.868164,0.868164
36,3.47162e-07,0.148738,5000,3.00195,10.9893,1.03223,1.97656,0.856445,0.856445
37,3.471e-07,0.14874,5000,3.01367,10.9863,1.03809,1.99121,0.852539,0.852539
38,3.47455e-07,0.148728,5000,3.01953,10.9854,1.05078,1.98926,0.862305,0.862305
39,3.47397e-07,0.14873,5000,3.01953,10.9805,1.05078,1.99609,0.87207,0.87207
40,3.47914e-07,0.148716,5000,3.02832,10.9678,1.05566,2.00488,0.869141,0.869141
