Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
1,3.47704e-07,0.148719,5000,3,11,1,2,0,0
2,3.47704e-07,0.148719,5000,3,11,1,2,0,0
3,3.47704e-07,0.148719,5000,3,11,1,2,0,0
4,3.47704e-07,0.148719,5000,3,11,1,2,0,0
5,3.47704e-07,0.148719,5000,3,11,1,2,0,0
6,3.47704e-07,0.148719,5000,3,11,1,2,0,0
7,3.47704e-07,0.148719,5000,3,11,1,2,0,0
8,3.47704e-07,0.148719,5000,3,11,1,2,0,0
9,3.47704e-07,0.148719,5000,3,11,1,2,0,0
10,3.47704e-07,0.148719,5000,3,11,1,2,0,0
11,3.47704e-07,0.148719,5000,3,11,1,2,0,0
12,3.47704e-07,0.148719,5000,3,11,1,2,0,0
13,3.47704e-07,0.148719,5000,3,11,1,2,0,0
